# Bankcode → BIC für IBAN-Länder, deren Bankcode NICHT im BIC steckt (anders als NL).
# Format: Land;Bankcode;BIC;Bankname   — Bankcode ohne führende Nullen.
#
# Diese Datei enthält nur Quellen, deren Bedingungen die Weitergabe erlauben:
#
#   AT  Oesterreichische Nationalbank — SEPA-Zahlungsverkehrsverzeichnis
#       https://www.oenb.at/docroot/downloads_observ/sepa-zv-vz_gesamt.csv
#       © OeNB, Lizenz CC BY 4.0 (IWG 2022) — Weitergabe und Bearbeitung erlaubt,
#       auch kommerziell, unter Namensnennung.
#
#   BE  Nationale Bank van België / Banque nationale de Belgique
#       https://www.nbb.be/doc/be/be/protocol/full_list_current.xlsx
#       © NBB — "This information may be distributed, provided it is accurately
#       presented and the NBB is cited as the source."
#
# CH und LU liegen NICHT bei: SIX Interbank Clearing untersagt die Weitergabe
# ("may not be reproduced or reused in any way"), die ABBL erlaubt nur die
# unveränderte Nutzung. Beide holt bin/update-bankcodes.php lokal nach —
# das Ergebnis landet in iban-bankcode-bic.local.csv (nicht im Repository).
AT;20503;SPIHAT22XXX;Tiroler Sparkasse Bankaktiengesellschaft Innsbruck
AT;20505;SPKIAT2KXXX;Sparkasse der Stadt Kitzbühel
AT;20506;SPKUAT22XXX;Sparkasse Kufstein Tiroler Sparkasse von 1877
AT;20507;LISPAT21XXX;Lienzer Sparkasse AG
AT;20508;SPRTAT21XXX;Sparkasse Rattenberg Bank AG
AT;20509;SPREAT21XXX;Sparkasse Reutte AG
AT;20510;SPSCAT22XXX;Sparkasse Schwaz AG
AT;20601;SPBRAT2BXXX;Sparkasse Bregenz Bank Aktiengesellschaft
AT;20602;DOSPAT2DXXX;Dornbirner Sparkasse Bank AG
AT;20603;SPEGAT21XXX;Sparkasse der Gemeinde Egg
AT;20604;SPFKAT2BXXX;Sparkasse der Stadt Feldkirch
AT;20607;SSBLAT21XXX;Sparkasse Bludenz Bank AG
AT;20702;SPFNAT21XXX;Sparkasse Feldkirchen/Kärnten
AT;20706;KSPKAT2KXXX;Kärntner Sparkasse Aktiengesellschaft
AT;20815;STSPAT2GXXX;Steiermärkische Bank und Sparkassen Aktiengesellschaft
AT;20828;SPMZAT21XXX;Sparkasse Mürzzuschlag Aktiengesellschaft
AT;20833;SPPLAT21XXX;Sparkasse Pöllau AG
AT;20839;SPVOAT21XXX;Sparkasse Voitsberg-Köflach Bankaktiengesellschaft
AT;24012;BAOSATWWXXX;Bausparkasse der österreichischen Sparkassen Aktiengesellschaft
AT;30000;RZBAATWWXXX;Raiffeisen Bank International AG
AT;31000;RZBAATWWXXX;Raiffeisen Bank International AG
AT;31111;RZBAATWWVAM;Raiffeisen Bank International AG
AT;31112;RZBAATWWREC;Raiffeisen Bank International AG
AT;31303;RBSKATW1XXX;Raiffeisen Bausparkasse Gesellschaft m.b.H.
AT;31500;NTBAATWWXXX;NOTARTREUHANDBANK AG
AT;32000;RLNWATWWXXX;RAIFFEISENLANDESBANK NIEDERÖSTERREICH-WIEN AG
AT;32002;RLNWATW1002;Raiffeisenbank Wagram-Schmidatal eGen
AT;32025;RLNWATWWAMS;Raiffeisenbank Region Amstetten eGen
AT;32033;RLNWATWWAMS;Raiffeisenbank Region Amstetten eGen
AT;32039;RLNWATWWWDF;Raiffeisenbank Wolkersdorf - Auersthal eGen
AT;32045;RLNWATWWBAD;Raiffeisenbank Region Baden eGen
AT;32059;RLNWATW1059;Raiffeisenkasse Blindenmarkt eGen
AT;32073;RLNWATWWBRL;Raiffeisenbank Bruck-Carnuntum eGen
AT;32092;RLNWATWWGAE;Raiffeisen-Regionalbank Gänserndorf eGen
AT;32099;RLNWATW1099;Raiffeisenkasse Dobersberg-Waldkirchen eGen
AT;32118;RLNWATWWBAD;Raiffeisenbank Region Baden eGen
AT;32123;RLNWATWW123;Raiffeisenbank Eggenburg eGen
AT;32127;RLNWATWWWTH;Raiffeisenbank im Thayatal eGen
AT;32145;RLNWATW1145;Raiffeisenkasse Ernstbrunn eGen
AT;32195;RLNWATWWASP;Raiffeisenbank Region Wiener Alpen eGen
AT;32198;RLNWATW1322;Raiffeisenbank Hollabrunn eGen
AT;32227;RLNWATWWZDF;Raiffeisenbank Weinviertel Nordost eGen
AT;32242;RLNWATW1002;Raiffeisenbank Wagram-Schmidatal eGen
AT;32247;RLNWATWWBAD;Raiffeisenbank Region Baden eGen
AT;32250;RLNWATWWGTD;Raiffeisen Regionalbank Mödling eGen
AT;32275;RLNWATW1275;Raiffeisenbank Seefeld-Hadres eGen
AT;32278;RLNWATWW278;Raiffeisenkasse Haidershofen eGen
AT;32286;RLNWATW1286;Raiffeisenkasse Heiligeneich eGen
AT;32291;RLNWATW1002;Raiffeisenbank Wagram-Schmidatal eGen
AT;32322;RLNWATW1322;Raiffeisenbank Hollabrunn eGen
AT;32356;RLNWATWWOBG;Raiffeisenbank Region St. Pölten eGen
AT;32367;RLNWATW1880;Raiffeisenbank Tulln-Klosterneuburg eGen
AT;32368;RLNWATW1477;Raiffeisenbank Region Schallaburg eGen
AT;32374;RLNWATWWASP;Raiffeisenbank Region Wiener Alpen eGen
AT;32395;RLNWATWWKOR;Raiffeisenbank Korneuburg eGen
AT;32397;RLNWATWWKRE;Raiffeisenbank Krems eGen
AT;32413;RLNWATWWLAA;Raiffeisenbank Laa/Thaya eGen
